age 	speakerID 	sex 	sentenceID 	stdevM              	varcoM              	rPVIm               	nPVIm               	stdevP              	varcoP              	rPVIp               	nPVIp
o   	       58 	m   	       002 	 9.445515725099254  	17.074707314146153  	 8.866422063496561  	16.65349314534398   	 4.963846387669158  	 7.727107297887219  	 7.0088397544449315 	10.817469202397644
o   	       58 	m   	       005 	 5.567873568026877  	10.302838433332852  	 3.4647161069372068 	 6.410785264811253  	 4.2146750416846785 	 6.8672407403343545 	 4.139947194371269  	 6.654779021847622
o   	       58 	m   	       016 	 5.457835192306892  	10.98503364195829   	 6.088319354190779  	12.151054578623434  	 5.461317429941659  	 9.035634478444296  	 7.175374774283045  	11.759025261696085
o   	       58 	m   	       017 	 5.5883429242207505 	10.907949254912529  	 8.16099381001458   	16.07866252183221   	 6.100038063640131  	 9.902308845001237  	 8.992712733264957  	14.874372051774541
o   	       58 	m   	       021 	 5.550042695393798  	10.74261083666963   	 7.152411718097892  	14.20689800708376   	 4.710700180423063  	 7.553447739351665  	 6.9417857473249365 	11.294168866402151
o   	       58 	m   	       022 	 3.2168900822398774 	 5.8064261766061245 	 3.9838884860750756 	 7.035669605526886  	 4.507752032922219  	 7.232966176920625  	 4.53221635942143   	 7.2093466662328956
o   	       58 	m   	       023 	 4.916122096800372  	 9.27544823813306   	 6.959857603926336  	12.875076094748389  	 4.849013731882668  	 7.412894596942906  	 3.24182402136665   	 4.955550803141444
o   	       58 	m   	       026 	 5.0119360232153225 	 9.111536005310606  	 4.360758370966759  	 8.077824054941368  	 5.494138257475107  	 8.7621619656434    	 6.22644778020666   	10.334708250583219
o   	       58 	m   	       029 	 4.855434422117924  	 9.207804343939275  	 5.022243703467061  	 9.517052818399032  	 2.4988890661199825 	 4.054632034941119  	 1.9337850996038577 	 3.176495227868464
o   	       58 	m   	       030 	 5.141434598182173  	10.058872880713833  	 7.052418291059739  	13.35511272320483   	 3.58410182595341   	 5.920106388638841  	 3.662613961778945  	 6.176525998617684
o   	       58 	m   	       031 	 5.011710396473512  	 8.981489710748455  	 4.779410787450278  	 8.673875763999035  	 3.7021982518326775 	 5.871294751077005  	 4.721776349336365  	 7.403674216063728
o   	       58 	m   	       037 	 4.602998569531291  	 8.626464545531089  	 3.766870285164965  	 7.243803817652124  	 4.88012295905594   	 7.5547050055185245 	 5.919667729518394  	 9.159539904549385
o   	       58 	m   	       040 	 3.7514133923732893 	 7.1707408056667425 	 5.212971190747437  	 9.885759179222187  	 3.9066949748071527 	 6.512766122219327  	 4.09067424861794   	 6.873770307326076
o   	       58 	m   	       043 	 5.522589839456311  	10.13419575420692   	 5.5916383654560535 	10.17389973690942   	 2.8099993913650247 	 4.421872114721882  	 2.9393075537401163 	 4.518113597095766
o   	       58 	m   	       044 	 3.66204237248731   	 6.733715878011113  	 5.003471557691557  	 9.226086263153706  	 2.4410097579986374 	 3.9318888649591357 	 2.731503966991461  	 4.414009022073556
o   	       58 	m   	       045 	 5.537709365539421  	10.911768334123204  	 6.7703573265634445 	13.291040323340942  	 3.7283105548754745 	 6.0429918767279505 	 4.275262750385051  	 6.913319749382136
o   	       58 	m   	       046 	 6.365692650169832  	11.350398974364785  	 6.521318774736161  	12.177709889275603  	 2.99725814413269   	 4.688819384073171  	 3.6018983216935863 	 5.636334050021546
o   	       58 	m   	       051 	 7.085030003839531  	13.038037667980381  	 6.812156755502648  	12.336328448333873  	 4.771704573622101  	 7.290268416923024  	 4.51630505195212   	 6.8818927227366204
o   	       58 	m   	       052 	 4.4119504072067395 	 7.56692724496531   	 4.626753676248953  	 8.20735567801596   	 3.97543385408389   	 6.1202282680768185 	 4.7770528872600915 	 7.499073099711766
o   	       58 	m   	       053 	 4.593446901297177  	 8.256462922299056  	 4.746984407591928  	 8.657559418417625  	 4.0746021625603355 	 6.511086671362751  	 5.007738892560148  	 8.010845840159268
o   	       58 	m   	       058 	 5.071783929219323  	10.088640391669227  	 6.820146997367481  	13.713980377817617  	 3.8194878344692778 	 6.319240507939156  	 5.024007794660814  	 8.289014935780333
o   	       58 	m   	       070 	 4.864851248098204  	 8.678770269272324  	 3.7841521525880104 	 7.030184815063653  	 4.590571806003317  	 7.312390115833942  	 3.934280280667358  	 6.331656101581369
o   	       58 	m   	       072 	 5.490469537218172  	10.320251697373658  	 8.478763956512276  	15.813114651887282  	 4.958594752169828  	 7.8132448142368105 	 6.6910500997646345 	10.534227160339213
o   	       58 	m   	       078 	 3.493109910509517  	 6.528485507611141  	 3.369987610949512  	 6.294568337255957  	 2.123894176338121  	 3.402658271542251  	 2.2171002538563096 	 3.570488582983535
o   	       58 	m   	       085 	 4.361198905930716  	 8.100923454239217  	 4.731101629158371  	 8.883410760634296  	 3.0244278367159465 	 4.874194673367353  	 3.7582398487686195 	 6.072791483839662
o   	       58 	m   	       088 	 5.745296730006898  	10.625063332179648  	 6.9456505740685754 	12.967391969922668  	 3.0262684749590485 	 4.79973020550747   	 3.1783425207006113 	 5.083364445813787
o   	       58 	m   	       092 	 4.511508738905006  	 8.315828725952558  	 5.039562845455524  	 9.296834225465862  	 3.233215691591644  	 5.216187516766228  	 3.2230615710810078 	 5.127285488732599
o   	       58 	m   	       095 	 6.271080878764324  	11.569272497308354  	 5.16252474161003   	 9.538472151513279  	 5.264321317974363  	 8.52139228341271   	 4.290750332556134  	 6.923332688194533
o   	       58 	m   	       098 	 5.3065947973825836 	 9.994632902798356  	 4.590670406873722  	 8.526392990064524  	 3.8548779361372896 	 6.195086473959959  	 3.4385321078522573 	 5.4584451774122416
